obs,cpd,Y_sum,bkg_type,c_base,c_phys,mean_log_c_phys_meas,median_log_c_phys_meas,std_log_c_phys_meas,iqr_log_c_phys_meas,N_meas,mean_c_phys_meas,median_c_phys_meas
o10,4,30,noise-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.566516806,-0.548455007,0.152310469,0.060205999,10,0.271320865,0.282842712
o10,4,30,noise-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.474713946,-0.492775746,0.116329042,0.120411998,10,0.335186141,0.321532039
o10,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-slow-dynamic,0.4,0.2,-0.807340803,-0.819382003,0.238808698,0.361235995,10,0.155832916,0.151571657
o10,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-slow-dynamic,0.6,0.3,-0.540940545,-0.522878745,0.113702766,0.120411998,10,0.287779236,0.3
o10,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.656825805,-0.668867005,0.120579121,0.240823997,10,0.220381023,0.214354693
o10,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.528899345,-0.492775746,0.173683844,0.120411998,10,0.295869811,0.321532039
o11,4,30,VR-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.2,0.2,-0.655621685,-0.650805205,0.068162598,0.108370798,10,0.220992897,0.223457428
o11,4,30,VR-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,0.3,-0.493979866,-0.492775746,0.084039562,0.156535598,10,0.320641797,0.321532039
o11,4,30,flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.670071125,-0.692949404,0.056535253,0.108370798,10,0.213761198,0.202791896
o11,4,30,flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.457856266,-0.468693346,0.063766589,0.096329599,10,0.34845262,0.339865166
o11,4,30,noise-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.652009325,-0.650805205,0.065079439,0.096329599,10,0.22283873,0.223457428
o11,4,30,noise-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.530103465,-0.462672746,0.147823132,0.096329599,10,0.295050622,0.344609506
